;T1;T2;T3;T4
2017;6948;12189;13105;10742
2018;8878;12481;11950;10091
2019;7192;9026;8397;4787
2020;2959;149;1187;450
2021;85;228;509;149
2022;145;182;109;90
2023;88;66;54;48
2024;39;32;29;22
