Site;2017-JANVIER;2017-FEVRIER;2017-MARS;2017-AVRIL;2017-MAI;2017-JUIN;2017-JUILLET;2017-AOUT;2017-SEPTEMBRE;2017-OCTOBRE;2017-NOVEMBRE;2017-DECEMBRE;2018-JANVIER;2018-FEVRIER;2018-MARS;2018-AVRIL;2018-MAI;2018-JUIN;2018-JUILLET;2018-AOUT;2018-SEPTEMBRE;2018-OCTOBRE;2018-NOVEMBRE;2018-DECEMBRE;2019-JANVIER;2019-FEVRIER;2019-MARS;2019-AVRIL;2019-MAI;2019-JUIN;2019-JUILLET;2019-AOUT;2019-SEPTEMBRE;2019-OCTOBRE;2019-NOVEMBRE;2019-DECEMBRE;2020-JANVIER;2020-FEVRIER;2020-MARS;2020-AVRIL;2020-MAI;2020-JUIN;2020-JUILLET;2020-AOUT;2020-SEPTEMBRE;2020-OCTOBRE;2020-NOVEMBRE;2020-DECEMBRE;2021-JANVIER;2021-FEVRIER;2021-MARS;2021-AVRIL;2021-MAI;2021-JUIN;2021-JUILLET;2021-AOUT;2021-SEPTEMBRE;2021-OCTOBRE
rome;2097;1998;2853;3713;4590;3886;4246;3877;4982;4710;3310;2722;2870;2625;3383;4281;4588;3612;3727;3631;4592;4728;3157;2206;2563;1942;2687;3064;3185;2777;2923;2413;3061;3049;1738;1221;1467;1218;274;24;34;91;333;403;451;270;142;38;25;46;14;19;88;121;158;125;226;147
venise;684;701;973;1326;1108;930;912;771;1290;1010;683;549;688;578;911;991;1001;857;933;763;1045;924;566;332;406;316;618;762;605;572;539;473;649;534;288;171;240;221;32;26;7;55;112;165;226;83;10;3;4;10;2;9;26;49;34;34;64;16
