;T1;T2;T3;T4
2017;2358;3364;2973;2242
2018;2177;2849;2741;1822
2019;1340;1939;1661;822
2020;493;88;503;96
2021;16;84;132;16
2022;31;79;32;23
2023;42;43;31;33
2024;39;36;34;36
